group,ticker,fold,k,DirAcc,RMSE,naive,edge
VALIDATION (unseen),PFE,2023,5,0.468,0.015426167230086723,0.416,5.200000000000005
VALIDATION (unseen),PFE,2023,8,0.488,0.015319318090033262,0.416,7.200000000000001
VALIDATION (unseen),PFE,2023,10,0.472,0.015238057605479815,0.416,5.6
VALIDATION (unseen),PFE,2023,12,0.484,0.015271358488195046,0.416,6.800000000000001
VALIDATION (unseen),PFE,2023,15,0.468,0.015280862160129919,0.416,5.200000000000005
VALIDATION (unseen),PFE,2024,5,0.46215139442231074,0.014858389756181494,0.4820717131474104,-1.992031872509964
VALIDATION (unseen),PFE,2024,8,0.5059760956175299,0.014763642567849428,0.4820717131474104,2.39043824701195
VALIDATION (unseen),PFE,2024,10,0.4541832669322709,0.014789252839586644,0.4820717131474104,-2.788844621513947
VALIDATION (unseen),PFE,2024,12,0.4541832669322709,0.014740414218355716,0.4820717131474104,-2.788844621513947
VALIDATION (unseen),PFE,2024,15,0.47808764940239046,0.014773054068202058,0.4820717131474104,-0.3984063745019917
VALIDATION (unseen),UNH,2022,5,0.49800796812749004,0.015561931671155646,0.5577689243027888,-5.976095617529875
VALIDATION (unseen),UNH,2022,8,0.5059760956175299,0.015561564672271808,0.5577689243027888,-5.179282868525892
VALIDATION (unseen),UNH,2022,10,0.5139442231075697,0.015506044244778161,0.5577689243027888,-4.3824701195219085
VALIDATION (unseen),UNH,2022,12,0.5258964143426295,0.01552084601882505,0.5577689243027888,-3.1872509960159334
VALIDATION (unseen),UNH,2022,15,0.5059760956175299,0.01555163146590311,0.5577689243027888,-5.179282868525892
VALIDATION (unseen),UNH,2023,5,0.492,0.014412129624375793,0.504,-1.200000000000001
VALIDATION (unseen),UNH,2023,8,0.484,0.014457742823954014,0.504,-2.0000000000000018
VALIDATION (unseen),UNH,2023,10,0.472,0.01358929559712148,0.504,-3.200000000000003
VALIDATION (unseen),UNH,2023,12,0.488,0.013461643766864406,0.504,-1.6000000000000014
VALIDATION (unseen),UNH,2023,15,0.496,0.013607649941399853,0.504,-0.8000000000000007
VALIDATION (unseen),UNH,2024,5,0.5219123505976095,0.02025152587997374,0.5258964143426295,-0.3984063745019917
VALIDATION (unseen),UNH,2024,8,0.5179282868525896,0.019431127249487836,0.5258964143426295,-0.7968127490039834
VALIDATION (unseen),UNH,2024,10,0.5298804780876494,0.0184945143533337,0.5258964143426295,0.3984063745019917
VALIDATION (unseen),UNH,2024,12,0.5298804780876494,0.018529272575927746,0.5258964143426295,0.3984063745019917
VALIDATION (unseen),UNH,2024,15,0.5258964143426295,0.018803184582895812,0.5258964143426295,0.0
VALIDATION (unseen),PG,2022,5,0.4701195219123506,0.014381785184238858,0.5099601593625498,-3.984063745019917
VALIDATION (unseen),PG,2022,8,0.5059760956175299,0.014245139844284044,0.5099601593625498,-0.3984063745019917
VALIDATION (unseen),PG,2022,10,0.47808764940239046,0.014426090925217277,0.5099601593625498,-3.1872509960159334
VALIDATION (unseen),PG,2022,12,0.49800796812749004,0.014462768837527038,0.5099601593625498,-1.195219123505975
VALIDATION (unseen),PG,2022,15,0.4860557768924303,0.014277893702227025,0.5099601593625498,-2.39043824701195
VALIDATION (unseen),PG,2023,5,0.544,0.009434677593917943,0.52,2.400000000000002
VALIDATION (unseen),PG,2023,8,0.56,0.009368238522972198,0.52,4.0000000000000036
VALIDATION (unseen),PG,2023,10,0.56,0.009429596620703164,0.52,4.0000000000000036
VALIDATION (unseen),PG,2023,12,0.54,0.009473385545716454,0.52,2.0000000000000018
VALIDATION (unseen),PG,2023,15,0.544,0.0094399861079746,0.52,2.400000000000002
VALIDATION (unseen),PG,2024,5,0.50199203187251,0.009741798950701097,0.549800796812749,-4.7808764940239
VALIDATION (unseen),PG,2024,8,0.50199203187251,0.00971020514754214,0.549800796812749,-4.7808764940239
VALIDATION (unseen),PG,2024,10,0.5099601593625498,0.009684360228974906,0.549800796812749,-3.984063745019917
VALIDATION (unseen),PG,2024,12,0.49800796812749004,0.009692173071321794,0.549800796812749,-5.179282868525892
VALIDATION (unseen),PG,2024,15,0.5059760956175299,0.009688524859938841,0.549800796812749,-4.3824701195219085
VALIDATION (unseen),KO,2022,5,0.5099601593625498,0.012757429863021932,0.5537848605577689,-4.3824701195219085
VALIDATION (unseen),KO,2022,8,0.47808764940239046,0.012529183732312023,0.5537848605577689,-7.569721115537842
VALIDATION (unseen),KO,2022,10,0.50199203187251,0.012532417838386137,0.5537848605577689,-5.179282868525892
VALIDATION (unseen),KO,2022,12,0.5059760956175299,0.012482566189904353,0.5537848605577689,-4.7808764940239
VALIDATION (unseen),KO,2022,15,0.4940239043824701,0.012517596209591884,0.5537848605577689,-5.976095617529875
VALIDATION (unseen),KO,2023,5,0.508,0.008793546529257732,0.512,-0.40000000000000036
VALIDATION (unseen),KO,2023,8,0.46,0.00868165708922697,0.512,-5.199999999999999
VALIDATION (unseen),KO,2023,10,0.496,0.00863444708222207,0.512,-1.6000000000000014
VALIDATION (unseen),KO,2023,12,0.484,0.008623531015514522,0.512,-2.8000000000000025
VALIDATION (unseen),KO,2023,15,0.476,0.0086186515175895,0.512,-3.600000000000003
VALIDATION (unseen),KO,2024,5,0.5139442231075697,0.00798068538649201,0.5219123505976095,-0.7968127490039834
VALIDATION (unseen),KO,2024,8,0.5099601593625498,0.008014199798387822,0.5219123505976095,-1.195219123505975
VALIDATION (unseen),KO,2024,10,0.5179282868525896,0.007968033266648763,0.5219123505976095,-0.3984063745019917
VALIDATION (unseen),KO,2024,12,0.5059760956175299,0.007978618681275765,0.5219123505976095,-1.5936254980079667
VALIDATION (unseen),KO,2024,15,0.5099601593625498,0.007947452423464719,0.5219123505976095,-1.195219123505975
VALIDATION (unseen),WMT,2022,5,0.5099601593625498,0.018044368114337662,0.5378486055776892,-2.7888446215139417
VALIDATION (unseen),WMT,2022,8,0.50199203187251,0.018298033788428564,0.5378486055776892,-3.585657370517925
VALIDATION (unseen),WMT,2022,10,0.50199203187251,0.018198008702076062,0.5378486055776892,-3.585657370517925
VALIDATION (unseen),WMT,2022,12,0.4940239043824701,0.01853850406347433,0.5378486055776892,-4.3824701195219085
VALIDATION (unseen),WMT,2022,15,0.5179282868525896,0.018297239446637765,0.5378486055776892,-1.9920318725099584
VALIDATION (unseen),WMT,2023,5,0.564,0.009906496934605588,0.552,1.19999999999999
VALIDATION (unseen),WMT,2023,8,0.576,0.009970833920314998,0.552,2.399999999999991
VALIDATION (unseen),WMT,2023,10,0.576,0.009907056590442663,0.552,2.399999999999991
VALIDATION (unseen),WMT,2023,12,0.568,0.009998180955431878,0.552,1.5999999999999903
VALIDATION (unseen),WMT,2023,15,0.548,0.009895043336214422,0.552,-0.40000000000000036
VALIDATION (unseen),WMT,2024,5,0.5378486055776892,0.011253137786233955,0.5816733067729084,-4.382470119521919
VALIDATION (unseen),WMT,2024,8,0.5059760956175299,0.011210945788749607,0.5816733067729084,-7.5697211155378525
VALIDATION (unseen),WMT,2024,10,0.4900398406374502,0.011208625098353422,0.5816733067729084,-9.16334661354582
VALIDATION (unseen),WMT,2024,12,0.5059760956175299,0.011258426792624364,0.5816733067729084,-7.5697211155378525
VALIDATION (unseen),WMT,2024,15,0.4820717131474104,0.011271212388251423,0.5816733067729084,-9.960159362549803
VALIDATION (unseen),MCD,2022,5,0.4701195219123506,0.013391118123061397,0.47410358565737054,-0.3984063745019917
VALIDATION (unseen),MCD,2022,8,0.47808764940239046,0.013349737736119879,0.47410358565737054,0.3984063745019917
VALIDATION (unseen),MCD,2022,10,0.49800796812749004,0.01310256207697128,0.47410358565737054,2.39043824701195
VALIDATION (unseen),MCD,2022,12,0.46613545816733065,0.013163777384051405,0.47410358565737054,-0.7968127490039889
VALIDATION (unseen),MCD,2022,15,0.4342629482071713,0.01317850566533099,0.47410358565737054,-3.984063745019922
VALIDATION (unseen),MCD,2023,5,0.532,0.008873114449666722,0.544,-1.200000000000001
VALIDATION (unseen),MCD,2023,8,0.524,0.008837129027705498,0.544,-2.0000000000000018
VALIDATION (unseen),MCD,2023,10,0.52,0.008807677619650284,0.544,-2.400000000000002
